Year,FieldID,irrigation_mm,cropType,ncrop,precip_mm,ETo_mm,ETr_mm,ensemble_et_mm,disalexi_et_mm,eemetric_et_mm,geesebal_et_mm,ptjpl_et_mm,sims_et_mm,ssebop_et_mm
2019,NW1,309.2324967992,Corn,1,624.7,1344,1868.6,745.020264589635,744.0090064842823,836.2116040625817,559.3778278138017,695.080507532784,980.9237347918944,772.8485229172506
2020,NW1,453.65857045599995,Corn,1,334.9,1603.6,2315.5,831.4017645751396,777.8343464017552,978.2908939805378,739.0787777466395,751.784830065423,956.8708651829808,867.3581237135323
2021,NW1,366.5445044254,Corn,1,404.8,1537.2,2194.4,754.7655608275916,767.0436505252172,904.537074438786,556.3263111102523,668.889970139446,919.1437751857832,800.8244605289862
2022,NW1,429.9696626142,Corn,1,303.5,1674.9,2436.2,796.4236333239921,804.6462152472437,935.4288226824252,454.8495569234933,583.7666044974441,985.0045032421416,1011.6124699220152
2016,NW2,257.708948386,Corn,1,606,1507.8,2137.3,794.5599291306282,720.0002531048991,876.1608525271214,577.6144077781753,769.1193258681933,939.7283224381858,873.464430033951
2017,NW2,266.62321280279997,Corn,1,668.7,1503.1,2138,675.64530403135,665.5213960917113,697.8256107246657,544.7046789495274,647.1108599457134,910.988793562408,745.5508871763094
2018,NW2,250.04821463459996,Corn,1,637.7,1426.5,2006.3,815.1616816638591,841.6039344720145,851.8895502587781,608.3939621389982,806.6857222653762,1007.3518594482314,755.6277350602652
2019,NW2,358.6291625472,Corn,1,624.7,1344,1868.6,715.1163235204273,717.9785122668599,753.5475444460933,527.0586854255217,641.1618474912069,958.2607591401415,801.3860373373363
2020,NW2,407.1170480198,Corn,1,334.9,1603.6,2315.5,794.1071768330468,743.3343515714323,879.5936793597319,698.7614966354505,726.2498058074483,938.4333417701632,858.2734754793719
2021,NW2,284.032912502,Corn,1,404.8,1537.2,2194.4,773.0027143318467,783.3831920891628,892.8231233144525,548.3027309145814,690.5906595564555,955.2217198914268,835.0903148101278
2022,NW2,457.3548892508,Corn,1,303.5,1674.9,2436.2,841.1763355647295,852.9863497909705,978.1379945364254,507.01126753187816,591.1557118793475,995.6229347949412,1091.1615594752875
2016,NW3,356.6780320832,Corn,1,606,1507.8,2137.3,844.269794692434,774.8973560969829,916.5664236172864,598.6926610943152,825.548511075543,999.9772067105343,923.8043353686252
2017,NW3,292.1521234416,Corn,1,668.7,1503.1,2138,753.4698855889503,761.6458790285931,829.9218882763255,604.0301638113306,701.1304661410478,948.9125417432376,852.4769893492994
2018,NW3,402.26336941119996,Corn,1,637.7,1426.5,2006.3,819.1330645958071,879.4021281640881,856.4363427984273,632.4959886972159,787.1901713201732,983.6792143379377,784.0432746458002
2019,NW3,302.8272813394,Corn,1,624.7,1344,1868.6,706.2399865631238,688.7818384808428,744.7919358981959,535.4113166162786,654.4829371430831,938.545853340447,790.3112020076276
2020,NW3,341.60104262839997,Corn,1,334.9,1603.6,2315.5,762.9634931926415,720.9320054537912,829.6994684529811,669.6177208686545,706.6551662813447,913.4624854269174,837.4396328571149
2021,NW3,227.21019269579998,Soybeans,1,404.8,1537.2,2194.4,732.708291343095,747.3043847689056,850.4576935996997,523.4120279803191,681.1444464204558,939.822405991266,777.9295156796492
2022,NW3,513.3620397203999,Corn,1,303.5,1674.9,2436.2,860.8120220522854,870.4577627600926,1005.0081806864664,493.2847728575099,641.8665204418363,1057.552067895746,1078.276216728911
2016,NW4,345.4474050652,Corn,1,629.7,1504.2,2132,821.2828894376732,732.0446993635874,891.247103392726,597.2846154527028,791.9973003354667,955.5368260796446,870.2959540437436
2017,NW4,382.49097751079995,Corn,1,659.5,1497.9,2127.5,783.1643431848961,760.8219018030219,850.95938111297,660.3367853633926,731.7437265992193,977.960310505678,870.2342954760704
2018,NW4,333.89744243999996,Corn,1,653.3,1425.9,2002.2,821.7479841029592,849.442019172044,840.6797755295327,637.0566044416122,792.6201793285361,979.8585464298044,826.9100170831233
2019,NW4,373.7486372612,Corn,1,609.6,1345,1867.5,761.6195331793197,770.7996848916152,823.5659647538877,595.5442700726697,648.0285102277455,963.0753250661638,895.0356798286375
2020,NW4,433.9664658982,Corn,1,337.4,1597.2,2304.2,782.4174655018279,734.2642130699169,855.1352222133709,692.007355479434,702.5734264496315,946.484859750215,862.1373819449977
2021,NW4,381.2992593202,Corn,1,423.2000000000001,1534.6,2189.4,794.967798755499,800.1893040176319,937.9704541632368,562.1633695353922,707.2525381272295,969.3852377032496,876.5633093461499
2022,NW4,353.3052722298,Corn,1,312,1668.1,2427,819.8786655690982,830.1829398904202,944.0464696354128,495.11501456048586,600.5685139453163,986.9888118820646,1048.4444355930857
2016,NW5,287.1446956612,Corn,1,629.7,1504.2,2132,812.2068137446306,723.4429324482621,860.9476962124165,595.873760249902,781.8235454900425,944.031462319406,880.6871339320576
2017,NW5,281.983458384,Corn,1,659.5,1497.9,2127.5,774.47478524014,779.8857379929711,846.6343420538849,653.6001171417412,709.885503709488,959.2013373682148,883.8117336977739
2018,NW5,384.60620063619996,Corn,1,653.3,1425.9,2002.2,815.4040316282698,855.2290413900815,824.9687036313935,652.9940745802418,788.81323701679,969.2765326044508,792.7635786802028
2019,NW5,263.7774274606,Corn,1,609.6,1345,1867.5,730.4497559547049,734.5483209683715,748.0727840687229,539.6138520109329,644.8340980085901,942.61764935572,848.3807594689572
