,iteration,obj_variable,MAE,RMSE,R^2,Pearson r,Data_set,prms
38,13,ET,67.29840345588968,82.67438345577575,-1.0299879678220516,-0.08409008367885751,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 53.37466968887224, 'SMT3': 54.629251475343914, 'SMT4': 40.6898053911625, 'CCx': 0.9526341971004408, 'WP': 30.0, 'Kcb': 1.020284012824069, 'HI0': 0.55, 'a_HI': 5.672795018333083, 'Zmax': 2.3922306774447897}"
39,14,Irrigation,88.42453171916735,127.54406086330404,-0.3853402221128126,0.46424241555577644,withoutET_full_data,"{'SMT1': 32.497812414246724, 'SMT2': 51.42500219567452, 'SMT3': 62.739568309526256, 'SMT4': 50.83950783346861, 'CCx': 0.9051294672406196, 'WP': 34.92742515543806, 'Kcb': 1.0044533970140948, 'HI0': 0.5189867202429168, 'a_HI': 7.644875347935988, 'Zmax': 2.1807331209353853}"
40,14,Yield,2.400547075336911,3.432845032207344,-0.6568256787147178,0.42039948484383444,withoutET_full_data,"{'SMT1': 32.497812414246724, 'SMT2': 51.42500219567452, 'SMT3': 62.739568309526256, 'SMT4': 50.83950783346861, 'CCx': 0.9051294672406196, 'WP': 34.92742515543806, 'Kcb': 1.0044533970140948, 'HI0': 0.5189867202429168, 'a_HI': 7.644875347935988, 'Zmax': 2.1807331209353853}"
41,14,ET,64.94478295050725,82.35483808006686,-1.0143260506753147,-0.03157010713062313,withoutET_full_data,"{'SMT1': 32.497812414246724, 'SMT2': 51.42500219567452, 'SMT3': 62.739568309526256, 'SMT4': 50.83950783346861, 'CCx': 0.9051294672406196, 'WP': 34.92742515543806, 'Kcb': 1.0044533970140948, 'HI0': 0.5189867202429168, 'a_HI': 7.644875347935988, 'Zmax': 2.1807331209353853}"
42,15,Irrigation,83.04615277537788,120.0965405207074,-0.22827880513922372,0.4650795720113232,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.01281364140532, 'SMT3': 62.12752233756962, 'SMT4': 42.0228553898389, 'CCx': 0.9523147128938898, 'WP': 34.24200302889704, 'Kcb': 1.0185886167921785, 'HI0': 0.4928149875189465, 'a_HI': 9.509288915336882, 'Zmax': 1.2319520422123844}"
43,15,Yield,2.3893544398689532,3.4662392119665952,-0.6892171480162126,0.42947521283524726,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.01281364140532, 'SMT3': 62.12752233756962, 'SMT4': 42.0228553898389, 'CCx': 0.9523147128938898, 'WP': 34.24200302889704, 'Kcb': 1.0185886167921785, 'HI0': 0.4928149875189465, 'a_HI': 9.509288915336882, 'Zmax': 1.2319520422123844}"
44,15,ET,65.735716311202,81.33584481085197,-0.964787099231762,-0.045157334938094366,withoutET_full_data,"{'SMT1': 30.0, 'SMT2': 50.01281364140532, 'SMT3': 62.12752233756962, 'SMT4': 42.0228553898389, 'CCx': 0.9523147128938898, 'WP': 34.24200302889704, 'Kcb': 1.0185886167921785, 'HI0': 0.4928149875189465, 'a_HI': 9.509288915336882, 'Zmax': 1.2319520422123844}"
45,16,Irrigation,87.56557785234466,122.95955304424734,-0.28753936148899784,0.4440847391218252,withoutET_full_data,"{'SMT1': 30.00687240668071, 'SMT2': 62.17076347338848, 'SMT3': 57.10339819812044, 'SMT4': 35.61728711101551, 'CCx': 0.98, 'WP': 31.564203269568925, 'Kcb': 1.0, 'HI0': 0.5499691751967667, 'a_HI': 7.591302205185698, 'Zmax': 1.6240703909467784}"
46,16,Yield,2.3086100871443014,3.311641191772259,-0.5418956083552087,0.41159009811411396,withoutET_full_data,"{'SMT1': 30.00687240668071, 'SMT2': 62.17076347338848, 'SMT3': 57.10339819812044, 'SMT4': 35.61728711101551, 'CCx': 0.98, 'WP': 31.564203269568925, 'Kcb': 1.0, 'HI0': 0.5499691751967667, 'a_HI': 7.591302205185698, 'Zmax': 1.6240703909467784}"
47,16,ET,68.17899446631743,83.93613992703118,-1.092423167289616,-0.09572983621726847,withoutET_full_data,"{'SMT1': 30.00687240668071, 'SMT2': 62.17076347338848, 'SMT3': 57.10339819812044, 'SMT4': 35.61728711101551, 'CCx': 0.98, 'WP': 31.564203269568925, 'Kcb': 1.0, 'HI0': 0.5499691751967667, 'a_HI': 7.591302205185698, 'Zmax': 1.6240703909467784}"
